text,label
"The same reason people love Madonna, Beyoncé, Lady Gaga, or any other diva. Femininity is so often portrayed as being down-to-earth, sweet, gentle, mothering, girl-next-door. That’s the standard that most women are expected to meet. We need to be soft and small and submissive because men are strong and aggressive. And if a piece of media attempts to showcase a woman in a different way, they have them be more masculine. They shit on women and femininity and act like men because men are superior. It’s nice to see a presentation of femininity that is domineering and glamorous. I don’t think anyone who loves Regina does so because they think she’d be a good friend. But she’s represents a spectrum of femininity and girlhood that we don’t get to see often. She’s a diva and she gets what she wants and she’s unapologetic about it.",Defense
"Regina has charisma level 10,000. She's also a rather fascinating antagonist.",Hot_Take
"Okay, I'll explain 1: In my opinion Cady was a bit meaner to Regina. Like she did all of that just for a man 2: She is an everlasting ICON 3: She was literally the best mean girl",Hot_Take
"I think it’s not about her personality, but the way Regina’s written. She is quite interseting as a character and people focus on her advantages like her good fashion sense, and funny one-liners",Defense
"Regina, she's so mean, but SO hot!",Hot_Take
I Prefer Regina. She is Blonde and Her Actress the original 2004 movie is Canadian. (I'm Canadian BTW),Hot_Take
"THIS. I hate hate HATE when movies take the mean person and give them that “change of heart” nonsense towards the end because life is rainbows and sunshine’s and we all get along. It’s annoying and very unrealistic. I LOVED her consistency with her ways and structure, never bending it for ANYONE. She was still bitchy at the end, never apologized, took credit for things she shouldn’t have been able to take credit for, and didn’t get in trouble for her actions. Sure she was injured and SLIGHTLY humbled, but even then she wasn’t all “ok let’s be best buddies now and kiss and sing campfire songs in a circle”. SHE WAS STILL THE SAME WAY LIKE SHE WAS IN THE BEGINNING. I love her character design.",Defense
I HATE when ppl say that cady is innocent bcs shes not at ALL. Shes way more mean and calculated than regina and she envied her from the start and wanted to take her down. Why do cady apologists even exist?? Why cant they see this? I hope they befriend a girl like cady irl lol,Condemnation
Regina. She is an ICON,Hot_Take
"Hot take, Janis is the true bad guy and Regina is just a bitch.",Hot_Take
Janis is clingy and annoying and obsessed with cady and regina but when cady became plastic she blamed it on cady and not herself.,Condemnation
"Aaron and Cady shouldn't have ended up together, he doesn't deserve her",Hot_Take
i hate regina and candy,Hot_Take
Honestly. Cady should’ve dropped Janis after she fell into her trap.,Hot_Take
Cady is the most boring and personality-less character through the entire movie,Hot_Take
"Honestly, I feel like Cadys mom is the worst character in the movie. Her parents just drop her into public school and hope she stays the sweet, innocent girl she was. They dont give her any guidance or advice whatsoever, not even a cliched ""stay away from (insert group of teenagers they consider 'bad')"". When Cady comes back from her first day and is clearly not happy, neither of them go to check on her and ask her whats wrong, how they can help, nothing. they just look at each other and continue their day. The second day, she gives them vague and confusing answers: do they ask for elaboration? NOPE! They arent involved in her life at all, which makes it preschool-level easy to lie to them. At the talent show, its very obvious Cady has changed and what kind of girls shes with, and judging from their reaction to their dance, they didnt approve. Do they sit her down and have a conversation about sexuality, friends, boys, anything? NOPE. They just let it go! They dont even ask her ab grades bc they dont even know shes failing Math until near the end of the movie. And clearly, they didnt bother to pick up a parenting book or ask for guidance on parenting a teen in the US from any friends/family, or even communicate with each other because the father has no clue what grounding means. So the hostility from the mother after everything happens is, imo, completely unjustified. Cady isnt a baby, and she had to take responsibility for her actions. But at the same time, she is still an impressionable minor that has no guidance from her parents into a completely new environment. She had to learn about it on her own. The father at least acknowledged it somewhat saying they mainstreamed her too soon. When the mother realizes her change, its when she doesnt care about the stupid pots under the cabinets— like, really girl?? You only realize she changed NOW?! Where have you been all year?? Anyways... thats the end of my rant. Cadys mom isnt exactly a mean girl, but she isnt a good mom and that contributed to Cadys transformation into a mean girl. TL;DR: Cadys mom sucks.",Condemnation
"
My problem with Janis is not the fact that she wanted a form of revenge on Regina my problem with her is using a girl who was homeschooled who just wanted friends and then getting pissed when her plan backfires and not facing consequences for her actions in the movie",Condemnation
"Janis is far from being the villain but I do think she was a bad friend to Cady. She knew Cady was very naive about American Mean Girl culture and sent her off to falsely befriend the plastics anyway. She and Regina had an equal hand in turning Cady into the Plastic Monster, but Janis got framed as the victim once Cady leaned into the plastic personality. I always felt like Cady was right to apologize for ditching the art show but Janis and Damien should have also apologized for peer pressuring her into joining the plastics for that Wednesday lunch in the first place. They punished her way too much for getting carried away with their idea.",Condemnation
"I feel like they make out Cady to be the meanest, but I would have the hardest time being friends with Janis. Maybe I just wouldn’t vibe with the rough exterior, but she’s really abrasive in the way she speaks to others. Plus the whole Revenge Party song would be really concerning if she was a person irl",Condemnation
"Karen is my least favorite main character. She seems so flat compared to the other girls. I'd hate them IRL,but this is fiction. Therefore,I can gush about horrible people. ",Condemnation
"
Janis seem like the coolest chick there to me. I loved her confidence & how she didn’t give a fuck about what ppl thought about her other than that preteen grudge against Regina",Defense
"Regina. She’s such a complex character. With all that she’s done, I’d hate her, but she’s a character I can sympathize with because I have a feeling she always struggled with her body and self image. Of course that doesn’t excuse any of the shit she did, but it’s really hard for me to hate Regina.",Mixed
"Gretchen Wieners is my fav, but I'm biased towards anything Lacey does. She's one of my fav actresses. Karen is probably my second fav. Both of them are fun minions and not really evil, just attractive screw ups that Regina takes advantage of. Kind of like team rocket from pokemon.",Defense
"Damien and Janis are fun. I think I could talk Janis into healing, going to therapy and not stooping to Regina’s level. She was still hurting because her former best friend ruined her life.",Defense
"I would call Karen  mean long before I called her nice. Karen is too dim to say anything malicious without being prompted, but she’s also too dim to have any moral fortitude. She participates in the creation of the burn book, she laughs along with people when they are mean, she says rude things about Gretchen when she thinks she’s talking to Regina, she ditches Regina just because Gretchen tells her to. She’s not nice. This is just a really accurate (though extremely condensed and edited for the viewer’s comfort) way of showing how “mean cliques” work. Karen and Gretchen never need to be straight up mean, they just need to be dumb or servile enough to go along with what the actively mean girls are doing. Even Regina is rarely explicitly rude to anyone’s face. She wouldn’t be popular if she was. She also wouldn’t be intimidating if she didn’t have Karen and Gretchen (and Cady) backing her up. If she was a lone asshole, everyone would hate her. But her backhanded behavior backed up by “not mean” people like Karen sends a message, like “you’d better not fight back, everyone will laugh at you.”",Condemnation
Y'all keep missing the point of the movie. Neither Regina or Janis were the real villains of the movie. The real villain was patriarchy,Hot_Take
"Janis wasn’t the real villain but she was a MEAN GIRL. Just like Regina. And just like Cady morphed into. That was the point. When Cady first came to school it was pretty clear that she was just desperate to make friends. To not be eating lunch alone in the bathroom. Janis used that, manipulating her to enact revenge on Regina. It backfired of course and everyone is an asshole in the end. But I think the biggest reason people have a problem with Janis as a character is that she shows no growth. Unlike the others she never apologizes or acknowledges her shitty behavior. In her head, it’s somehow justified because of how Regina treated her.",Condemnation
"Same. Idk if it is because the 2024 movie is different from the 2004 movie? I only watched the 2004 one and would never agree that Janis is the ""real mean girl"". Janis is reactively mean, in fact, in my personal opinion, her meanness is justified. She is specifically just targeting her bully aka Regina. Bullies need to learn that there are consequences for their actions. Regina is proactively mean. She is a bully who is mean to everyone. So she'll always be ""the mean girl"" to me. I also disagree with the whole sentiment about cady being some innocent naive person that is completely used as a pawn by Janis or something... At least in the 2004 movie, Damien and Janis genuinely just wanted to befriend Cady. They were friendly to her even before the Plastics paid her any attention. The hatching of the revenge plot also only happened because of Regina's actions during the Halloween party. By then, it was BOTH Cady and Janis who wanted to get back at Regina then. And Regina also brought it upon herself for being mean in the first place. All of this discourse just feels like people are brushing off the fact that a lot of what happened all begun with Regina's mean actions. And it also gives off the vibes of, if other people are mean, please passively accept it to be nice, which absolutely should not be the takeaway.",Defense
"The whole thing with Janis was that she was a hypocrite. She said Cady wasn’t pretending at being plastic and a mean girl anymore. The truth is that Janis was potentially just as bad as Regina, which makes sense since she was friends with her in middle school, which is an impressionable age for kids. They learn a lot of habits in middle school from peers. Janis saw Cady as a tool to use and she took advantage of her to benefit herself. She was burned by Regina, yes, but that doesn’t make her any less of a mean girl herself. ",Condemnation
"I agree. I think the reason Janis was upset that Cady didn’t come to her art show is because it proved that Cady wasn’t her lapdog and under her control anymore, not because she expected that they were good friends. So, I personally would be upset if my friend told me she would be there and didn’t show, even if we had only just become friends - just to address what some people have said. However, that’s because I wouldn’t be trying to befriend and manipulate someone to get revenge through them.",Condemnation
Absolutely. She took advantage of Cady to live out her revenge fantasies and tried to act like a victim… why?? Because cady didn’t invite you to a party??,Condemnation
Janis is def a villain. She manipulates and uses Cady to get revenge on Regina. The entire time. The vibe from the start is she's targeting Cady to manipulate her.,Condemnation
Gretchen was the real mean girl. I will die on that hill.,Hot_Take
Regina George is flawless,Hot_Take
"Janis had no character arc at all. She never apologized to anyone. She still asked Cady if she was still an asshole or not. She should’ve apologized to Cady for pressuring her to be her spy to ruin another girl’s life. She should’ve also apologized to Regina for making the plan in the first place. Regina should’ve also in return apologized for the rumor.

",Condemnation
"
Regina is worse because she treated everyone like dirt (including her teachers). She even treated her own friends like dirt, and don’t get me started on Gretchen. And besides, her shoddy treatment of Janis caused the latter to be pulled out of school. So, I’d say Regina is worse than Janis!",Condemnation
"I think Janis is actually the meanest one. Well at least at the end. She had like no character arch. Every other character realized they were in the wrong and fixed their mistakes but Janis just waited for Cady to fix everything and never took responsibility for her mistakes. Also other commenters liked to mention that Janis never forced Cady to do anything and yes, that is true, what she used is peer pressure and that can be just as bad as forcing someone. She never explicitly forced her to do anything, but she used peer pressure on a new kid who has no experience with any school besides homeschooling in a whole other continent. I do agree that Regina was probably meaner for most of the movie and did horrible things to Janis but that doesn't justify her for peer pressuring the new kid who never had been to a school to be part of her middle school revenge. Regina did some horrible stuff but she at least had a character arch and figured out ways to help with her anger and became a better person. Janis just waited for someone else to say sorry for something when she did just as many bad things to that same person. Also, to add, another reason she is the meanest is because she literally turned Cady into a plastic for her revenge plan and then was shocked and mad at her when she started acting mean and, well, like the plastics. That just my opinion though, it's not necessary the 'correct' answer since there is none obv.",Condemnation
"
Janis. She’s always given me the ick. Like she has all the negative qualities of Regina, but none of the redeeming qualities of at least being funny. She’s just self absorbed, obsessed with revenge and psychotic. Gross.",Condemnation
"Yes I agree Janis definitely had a reason to be mean, it doesn't justify her doing what she did to Cady and the things she said. Also Regina probably had things that were going on too that made her mean. Like to point some stuff out, she had a mom that never told her no and didn't care what she did. She also struggles with insecurities about her weight and probably a lot of other things too. Like the plastics would literally make it in their routine to look at themselves in the mirror and talk about all the things they hate about themselves. Remember, people aren't mean for no reason, there always is something that makes them mean. Even Janis admits it that Regina used to have a 'heart'.",Mixed
"The way Janis tries to control who Cady hangs out with, and then Regina starts trying to rope Cady into their group and control her too. From the get-go, Janis is as bad as Regina is but she tries to paint Regina as the villain. They both have their own sets of “rules” and acceptable ways of acting. Truly, this movie is full of mean girls ",Mixed
"I don't think Janis is half as bad as Regina. Regina is mean for the sake of being mean. Yes, Janis is bitter over the past and very unfairly lashed out at Cady when she was hurt. But that is entirely different from hurting people for no reason. As someone stereotyped as the ""nice girl"" who got mistreated repeatedly, I can understand why Janice became ""mean"" to protect herself. I now rather stand up for myself and be seen as mean than some pushover ",Defense
Regina. I've always loved the villain character I don't know why but like I love the meanness and how she just could show everyone that she is boss.,Defense
"Regina is a reflection of how she is raised to compete with others for everything in her life.   That's not healthy.  She treats her friends like shit because they are not friends, they are her enemies.   The old saying, keep your friends close but your enemies closer.   She's gotten to the top by stepping on people, but once at the top, she has to maintain that level constantly so there is no off day of thinking about what she really wants.   It's about maintaining status all the time.   That's constant stress.  There is not one minute for herself.  What Regina gets is that this is what life outside of high school can be like for her.   It's about maintaining that 'perfect' image and holding onto the status that has been hard fought for.   Sadly, she already has the wealth and connections through family to get what she needs to be successful.  She's still a kid but acts like she's much older.  She's been sexualized too young as well.   I don't think writers actually understand the psychology of the 'mean' girl.   I remember sitting in a Starbucks a few years ago and across from me were two women who had brought their daughters with them.  The daughters had to be below the age of 11, possibly 9-10 range.  I usually don't pay attention to other people, but it was the convo between the girls that struck me.  They were talking about dieting and how they look.  I listened to the vapid convo the moms were having about their daughters.  This is how someone like Regina is raised.",Mixed
"Society pressure and environment affects everyone but not everyone decides to be a power hungry bully. As someone who has been where the victims of Regina has been, I have no sympathy for Regina. I see Regina as a humbling tale of bullying and less of a misunderstood antihero.",Condemnation
"Regina had a mother that didn't mother but rather tried to relive her teen years vicariously through her 15/16 year old daughter and in denial about her age and a weak spineless daddy who disapproves of how Regina dresses and acts (remember Regina's halloween costume scene and how sad he looked) and was probably brownbeaten his wife to ""leave Regina alone/shes just a teenager"" and he doesnt feel attracted to his wife anymore. Remember Greychen let it slip that Regina's parents dont sleep in the same bedroom anymore. Also recall how Regina was disgusted/embarrassed by her mother trying to act like a teenager in front of her friends. Regina has no stability at home and knows it. Also, deep down, she knows she cant go talk to her mother about anything, so sje have up a long time ago and realized now that the only person looking out for her is herself. At age 15/16. Regina's mother and Cady's mother would not get along because Cady's mother wpuld see a woman with mental health issues and would feel sorry for Regina but keep Cady away. A girl like Regina would be jealous of parents like Cady's. Gretchen's parents seem a bit more balanced based on how Gretchen acts but she feels insecure from somewhere. Regina has bad parents, plain and simple, and she has to male do with whats available bit cant handle rejection because her parents have already rejected her at home and she has to control EVERYTHING to feel secure. Look at Shane versus Aaron. Aaron had boundaries versis how Shane followed Regina around and just agreed with everything she said, like how her mom has with her dad. Also recalll when Rwgina lost control of her ""friend group"" and image and was confronted with the reality that she had no one yet again, she screamed and had a total meltdown because she was alone again, not because she wasnt getting her way.",Defense
Regina becoming a victim of her rules is how the Kardashians became victims of their own beauty trends,Hot_Take
"Well.. just because she's intelligent and entertaining, doesnt mean she was actually ""right"" in a general sense. she did have a few wake up calls toward other characters who act as if they're in a better position than she is (i.e Cady) which shows she isn't the only one with villainous tendencies, but she wasn't ""right"" at all for what she did just bc shes smart when it comes to building a social standing. Regina is a great, smart character but she's also a villain. They can coexist even if she isn't the only one. i usually like this channel's videos but i don't really get the revisionism of regina or other mean girl characters. they're just mean.",Mixed
I loved how Regina wasn't the only villian. The rest weren't any better,Hot_Take
I genuinely fucking despise cady. I just needed to get that off my chest,Hot_Take
Regina's character is a good representation of Machiavellianism.,Hot_Take
Regina is one of those people who only peaks in high school.,Hot_Take
Being smart and calculative doesnt justify the things she did and do. Im kind of tired of seeing people always uplift these kinds of people at the end of the day.  Just say you think shes hot and move on nothing will justify anything she did,Condemnation
"Regina is basically the FEMME FATALLE every girl dream to become! He self confidence and selfie is the main point about her. She sounds mean because she prioritizes herself and she is protecting herself since earlier years because her parents can’t parenthing. At the end I fell like she understands the value of people connection and friendship and she opens up more but she still the confident Queen B. I wish they made a movie just about her, I see her as a boss girl like Lucy Liu on Charlie Angels lab scene hahaha",Defense
"Regina George was never the villain of this movie, she's basically an antagonist, she's kinda of a victim of this entire thing. There i said it!",Hot_Take
"But the thing is are we saying that happiness is what Regina had at the end of the movie because objectively if you look at it from Regina‘s perspective, she was happy in the beginning of the movie so the entire movie is her being happy except that one little bump Where she got knocked over a little bit, but she stood right back up and owned it all again because Regina George understood one thing that most people don’t want to admit that everyone is a bit narcissistic. Everyone is looking out for themselves and what will get them a leg up Regina just saw it a lot sooner than most people do and used it to her advantage that doesn’t make her villain that makes her genius.",Defense
Regina saw Cady as threat from second 0,Hot_Take
regina being right isn’t a bad thing  she really isn’t so bad. the real villain was janis,Hot_Take
"It impresses me after all this time almost nobody talks about the gothic friend being the second villain of the movie. She is just another Regina (and the real villain in my opinion, she is jealous she cant be popular like Regina despite being exactly like her in personality. The gothic girl is the worse cause she is mean but pretends her bad behavior is just her being a good person doing justice, plus she gets mad too when the redhead girl Suppressed her control and status)",Condemnation
"regina wasn't the real bad one.She was quite ok in her life,but then cady came and totally stole regina's lifestyle she wanted to be regina.and regina did what anyone would do",Condemnation
So Regina is the average politician.,Hot_Take
We are all Regina George pretending to be Cady Heron,Hot_Take
Regina truly understood the way the world works and that power is the only way to get whatever you want. It's a lonely path but it's the only path that will give you the best results for you and she knew this. Reputation is everything and she made use of her privileges and skills to remain in her position.,Defense
"Regina was wrong. She was mean & cold to Janice.  She was reacting to Regina's betrayal by using Kady to ruin her life. However, Regina started the entire mess by starting a rumor that Janice was gay. More pervasive than that rumor was  Regina's rigid social ideology. This emboldened her behavior. Everybody was wrong in some form or fashion, but Regina was the catalyst for all the negativity the girls experienced.   It took Regina getting hit by a bus to start to change into a better person. Nice try, but I'm not falling for the villain is actually justified theory. Sometimes people are who they are until life forces them to see the error of their ways. Creating the opportunity to change and grow for the better.",Condemnation
"In my opinion, the character Regina George sounds like a snob who ruins people’s lives for her own selfish reasons and is also popular for the wrong reasons!",Condemnation
"Okay, but does anyone ship Regina and rodrick together??? (Rodrick from diary of a wimpy kid)",Hot_Take
"Regina was popular because she's truly naturally pretty. It's called pretty privilege. Others may rely more on makeup, hair and clothes and the chokehold is not as intense.",Defense
I never hated Regina. Everyone else was just jealous of her.,Hot_Take
"I feel sad for people like Gretchen, you can tell she's so insecure she needs others people's approval.",Hot_Take
"It blew my mind when I realized the 'mean girls' aren't just the Plastics... it's Janis and Cady, too! Like, who spends that much energy hating somebody and trying to sabotage them?! Like when we're younger, it feels natural to root for Janis since she's so relatable at the time and seems like an underdog, but in reality, all those girls are bitches, lol.",Condemnation
"I don't know if Cady really ""chose not to give in to peer pressure"" by the end. She was pressured into taking all the blame for the ""burn book"", she was pressured into joining the ""mathletes"" and she was basically dictated what her ""true self"" was. I think she did give in to the peer pressure, only from those, who she probably felt more comfortable to share her feelings with. But she was still just as acceptance-seeking as she was with the plastics - she was still worrying what others thought of her, she wasn't being herself.",Condemnation
I’ve always felt like Janis gets let off the hook too easy,Hot_Take
"ok if that is your opinion...but I will still stick to Regina being a dictator. Reason being is that she somehow misuses her power, manupilates her friends to become more popular, tries to steal the relationship between Cady and Aaron",Condemnation
Janis is a perfect example of how you can become what you hate when it consumes you.,Hot_Take
Janis was an annoying character for me. One that was all talk but barely any action. She pushed Cady to do her dirty work and treated her badly. The sneaky behavior makes her look worse than Regina even though Regina is a manipulative bitx.,Condemnation
"JAnd that's why I can not stand Janis at all, yeah Regina is a bitx but Janis is even worse on that aspect because she knows how to manipulate, is the worse kind of pearson you can get to meet, even she is mad at Cady because she kept going with what she started, is kinda bs and makes zero sense that Cady is the one who apologizes at the end.",Condemnation
"I disagree. Cady decided to get revenge on Regina when she kissed Aaron. Cady even did her own side quests from janis’ own plot to ruin Regina’s life. Cady was a mean girl herself without the help of janis or Regina.
",Condemnation
"Janis is the worst. She reminds me of some left-wing extremists. She's the same, even worst sometimes, than Regina. The only difference is that she believes she's good because of her so called moral",Condemnation
regina george is my roman empire,Hot_Take
Karen was honestly the pretty one..,Hot_Take
"Honestly, I feel like Gretchen and Karen aren't that bad on their own. I feel like if Regina wasn't around they wouldn't be bad, they would probably hang out with people who didnt pressure them to look nice and have rules.",Defense
"Why is nobody talking about how Janice manipulated Cady in to bringing Regina down? She wasn't even her friend, she just pushed her to hang out with Regina and then got mad when she started being influenced by her. And at the end, exposing Cady in front of everyone. I always thought Janice was toxic.",Condemnation
"The most interesting thing about someone like Regina George to me is how we can all collectively hate her and acknowledge her problematic oppressive power, but we actively glamorize her (Thank You Next by Ariana Grande), admire her, feel captivated by her, and remember her. I think that's so fascinating.",Defense
"I feel more like Janis Ian is the true villain of the story. She single-handedly brought down Regina and the Plastic s' regime by pretending to sympathise with Cady's feelings and using her as a pawn to get revenge for what happened to her in the eighth grade, which she even admits later in the movie.",Condemnation
"The thing that’s the most interesting to me about Regina’s character is that even though every other background character and supporting cast sees her as someone who has everything and has the perfect position in life, Regina is never actually portrayed as genuinely ‘happy’. She’s somewhat cavalier about her popularity when she’s not being catty, and the only scenes where she’s smiling are superficial moments, or when she feels powerful—but she’s never portrayed to be satisfied with her life, or even herself. She’s envied and admired by everyone, power and all, but she’s angry and miserable under the mask of superficial plastic.",Defense
"What is also interesting is that Regina was originally friends with Janice before. Many dictators started off as common people who were actually quite likeable, however they got corrupted by power, the same way Regina got corrupted when started disassociating herself from Janice.",Defense
"Another thing about Regina's manipulation and repression is how fast it is. She's always on top of things, and it never takes her more than a moment to come up with a plan - it only took seconds to call the girl from the mall's mom and tell her a lie, and she immediately runs home to write her own name in the Burn Book as soon as she finds out what Cady did. She's smart, swift, and ruthless in a way that's kind of terrifying.",Defense
"I always thought Regina was insanely smart. The burn book idea to throw Cady under the bus, (yes I know what I just did) was pretty smart.",Defense
"I love how you point out Regina was majorly responsible for her own downfall. Most people point fingers at Cady, and to certain extent, the mastermind Janis but Regina wouldn’t have fallen out of power had she not offended so many people, especially her 2 underlings Karen and Gretchen (who directly told her not to sit with them anymore while Cady just watched in silence)",Condemnation
"So Regina George was a psychopath. She’s manipulative, conceited, smart and is incapable of feeling remorse. All until she magically changed and turned into a normal girl.",Condemnation
"As an adult, I can relate to so many things Regina did. These tactics are rewarding in the cold blooded competitive world. And if at any point you feel yourself trembling, another person would be more than willing to quickly replace you and the world would forget your name. This is why power hunters go to such lengths of cruelty to stabilize themselves. ",Defense
"In the end it all comes down to charisma, she is the queen bee for a reason. She is the kind of person you know it's evil, but you can't help but admire. I actually like Regina more than I like Cady and Janis, at least she is unapologetically a mean girl. Also most people fail to realize how she is actually hurting herself, more than anybody else, she is not Cher from Clueless, her life isn't perfect and happy, she has a lot of pain and is deeply insecure, even about her body, that everybody else think is perfect, and she doesn't have any real friends, so she lashs out her misery to others in a passive agressive way, by giving fake compliments like: ""I love your skirt, where did you get it?"" even though she absolutely hated it, she is by far the most complex character, even more when you realize she could still be the queen bee, if she was nice to others, she is beautiful, smart and is a born leader. The thing about mean girls and jocks is, everybody wants to be and be like by them. Every guy would want to date Regina, this is human nature, we live by power and we crave popularity, even the ""oh my gosh I'm not like this"" do, and that's why so many rich and famous people fuck their lives, because once you are on the top of the world and it still feels like you have or is nothing, and there is no more steps to go up, they lose purpose.
",Defense
Regina George is the best female character of all time,Hot_Take
i think every high school has a regina,Hot_Take
"There's a part of me that feels sorry for Regina for everything she went through during the film. She was a manipulative queen bee who needed to be brought down a peg, but she definitely didn't deserve to have her body destroyed by being tricked into eating weight-gain bars.",Mixed
"Regina was a mean girl and a dictator, but I think it's because she didn't know any better. She never had been corrected or told 'no' by anyone, instead they all kissed her butt: the boys, the girls, her mother... It wasn't really her fault she ended up that way. That's why I like how in the ending Cady is merciful towards her and gives her a piece of the crown.",Defense
"What's funny about all these ""Janice is a villain"" comments is that not once does she claim to be a nice person. She's ultimately likeable because of her honesty, strong personality, sense of humor, and unique style. She was always A ""mean girl"" too. I just preferred her over Regina.",Defense
"Everyone calling Janice a villain is missing the HUMONGOUS event of Regina betraying her best friend and making her an outcast.  Have none of you gone through anything like this?  It's not something to just brush off.  Yes, Janice's methods went too far and she also succumbed to being a mean girl, but to call her a villain is just ludicrous.  She's a victim that wanted to fight dirty back.  She's not a hero, but she certainly isn't a villain.",Mixed
"honestly, the scene where Regina joins the Lacrosse team was the most memoriable scene to me when I first saw it. It showed that Regina wasn't just the dictator. She could exist outside of that role, become someone new. If the movie was a worse version of itself, Regina would have had a ""fallen from grace"" ending where she's fat and alone and miserable. She's not ""redeemed"". She's repurposed.",Defense
I wanna be her. Seriously.,Hot_Take
Janis is the ultimate mean girl!! Her plan was mean but smart! She SINGLE-HANDEDLY took down the “Plastics” manipulating Cady and using her for her own selfish revenge!! She threw her in the lion’s den and then Cady also became a lion! Did she expect Cady to not be influenced by the Plastics-the poular girls?? She says “it will be our little secret” but then exposes Cady at the end! SO TOXIC,Condemnation
"Agreed, except the part you guys call her evil, if she was true evil, she would never change for better but she changed and thats matters, this movie show how esiely followers can happen but also its important remember that anyone could be regina s place too, if same parental figure maybe.",Defense
I always thought regina was pretty ok compared to everyone else honestly (except for Karen I loved her) like  she was doing what she wanted and everyone took her way to seriously they should have been doing their own thing and it 100% wouldn't bother them so much maybe if they put the energy into making themselves better regina wouldn't be such a threat,Defense
And this is why Highschool is an effective preparation for citiziens to function in our society.,Hot_Take
"Ok so basically Regina is Caesar, and sharing the crown is democracy.",Hot_Take
"I think the mom actually was doing some good. When Katy asked if there was alcohol, the mom said she would rather she drink in the house. Cause she knows that, like her daughter, she might not listen. She tried to push Regina into the safer path - like when she walks in on them having sex. She asks if she wants a condom",Defense
Regina is an ENFJ. She understands the dark side of human nature and uses that to her advantage.,Defense
Unpopular opinion: Janice was the real villain in this movie,Hot_Take
Something that always bugged me about this movie is that Janice and Damian got on Cady for not being a true friend when they were the ones who were being bad friends. No good friends would influence someone to engage with someone as toxic as Regina George and the rest of her squad for that matter. Them telling Cady that she is a bad friend is very hypocritical in my opinion.,Condemnation
Janice was just as bad if not worse than Regina,Hot_Take
"So basically, she's an evil barbie.",Hot_Take
Janis is way cooler than Regina. Janis could kick Regina's ass any day :),Hot_Take
"yeah right yeah right, not really. Regina George is not a dictator!! She just gets all the focus, popularity, and attention because she so damn beautiful, filthy rich, and knows how to dress. She's just mean because she's tired of people all up in her business and talking about her all the time.",Defense
"I think Regina is still the best character, and I don't know why, but I hate Cady",Hot_Take
"To me, Cady and Janice were worse than Regina",Hot_Take
"Regina is just power hungry..she won't be satisfied by anything less..that's major red flag , for girl and guy as well.. and manipulation doesn't last long..",Condemnation
Regina George was the Hero,Hot_Take
"One thing I just realized about Mean Girls is that Regina uses manipulation to make people think she is better than them, but Janice uses manipulation so that they think she's ""one of them."" Throughout the movie, we see Regina tearing people down by making them feel ""less than."" When Janice confesses everything in the trust fall scene, she knows that Regina has said and done things to everyone there to make them feel like crap, so she knows that they'll all rejoice by confessing the lengths she's gone to to bring Regina down.  She makes them feel like she's just like them, but in fact, her and Regina are a lot alike; they're just using their manipulation skills differently.
",Condemnation
